OG,FG,ABV,IBU,Color,BoilTime,BoilGravity,Efficiency,SugarScale,BrewMethod,PrimaryTemp,IsPils,SizeRatio
1.053,1.008,5.82,31.31,5.78,90,1.074,81.0,Specific Gravity,All Grain,9.0,True,0.7142857142857143
1.047,1.01,4.92,26.54,4.2,60,1.035,72.0,Specific Gravity,All Grain,16.0,True,1.3439999999999999
1.051,1.008,5.64,35.25,3.08,90,1.043,75.0,Specific Gravity,All Grain,12.78,True,1.1869135802469135
1.046,1.008,5.01,35.83,2.73,60,1.032,80.0,Specific Gravity,All Grain,10.0,True,1.4287871162556618
1.052,1.016,4.74,24.46,3.59,90,1.035,70.0,Specific Gravity,All Grain,10.0,True,1.4997358689910196
1.046,1.012,4.42,36.7,8.05,60,1.084,70.0,Specific Gravity,Partial Mash,20.0,True,0.5456292026897214
1.062,1.016,6.26,41.49,3.47,60,1.05,75.0,Specific Gravity,All Grain,10.0,True,1.2391304347826086
1.06,1.015,5.9,44.82,4.41,90,1.043,70.0,Specific Gravity,All Grain,10.0,True,1.4099313259376651
1.05,1.014,4.77,47.57,3.37,90,1.037,75.0,Specific Gravity,BIAB,10.0,True,1.3635926993275695
1.0490000000000002,1.01,5.09,29.75,3.48,60,1.04,84.0,Specific Gravity,BIAB,12.0,True,1.2083333333333333
1.05,1.016,4.55,50.27,3.27,60,1.041,70.0,Specific Gravity,All Grain,15.56,True,1.237987421383648
1.056,1.014,5.48,40.1,3.84,90,1.045,70.0,Specific Gravity,All Grain,6.67,True,1.2501100836635843
1.057,1.013,5.78,55.34,6.97,60,1.0490000000000002,65.0,Specific Gravity,All Grain,19.44,True,1.1663732394366197
1.054,1.012,5.46,36.82,4.02,60,1.078,35.0,Specific Gravity,extract,21.0,True,0.6956521739130435
1.052,1.013,5.1,19.51,5.04,60,1.038,70.0,Specific Gravity,All Grain,9.44,True,1.3635926993275695
1.042,1.007,4.62,26.54,3.24,60,1.078,35.0,Specific Gravity,extract,17.78,True,0.5456292026897214
1.054,1.016,5.04,35.99,3.84,60,1.047,75.0,Specific Gravity,BIAB,10.0,True,1.1535960991466885
1.054,1.013,5.49,40.37,4.76,60,1.043,70.0,Specific Gravity,All Grain,12.0,True,1.25
1.048,1.011,4.77,29.03,3.22,75,1.038,60.0,Specific Gravity,All Grain,12.0,True,1.25
1.051,1.009,5.49,40.61,3.55,90,1.044,72.0,Specific Gravity,All Grain,10.0,True,1.16
1.03,1.007,2.95,35.62,9.08,30,1.05,35.0,Specific Gravity,extract,18.0,True,0.21739130434782608
1.046,1.008,5.06,28.52,5.96,60,1.039,70.0,Specific Gravity,All Grain,13.0,True,1.2
1.052,1.013,5.1,41.99,3.58,90,1.046,72.0,Specific Gravity,All Grain,10.0,True,1.1428571428571428
1.05,1.014,4.66,24.06,3.3,80,1.037,85.0,Specific Gravity,All Grain,6.67,True,1.3635926993275695
1.045,1.007,4.92,35.64,2.7,60,1.037,80.0,Specific Gravity,All Grain,10.0,True,1.1999154691462384
1.048,1.013,4.54,28.36,4.14,90,1.039,80.0,Specific Gravity,All Grain,10.0,True,1.2417437252311756
1.047,1.008,5.16,26.03,4.92,90,1.038,81.0,Specific Gravity,All Grain,11.0,True,1.2261089073205913
14.2089,3.46412,5.8,41.53,4.54,90,11.9,70.0,Plato,All Grain,10.0,True,1.2091738712776177
1.0490000000000002,1.012,4.78,48.99,4.59,60,1.097,35.0,Specific Gravity,extract,18.33,True,0.49973586899101957
12.0441,1.81962,5.44,18.1,3.77,90,11.0,82.0,Plato,All Grain,12.0,True,1.0952380952380953
1.05,1.008,5.59,51.08,3.69,90,1.034,64.0,Specific Gravity,All Grain,21.11,True,1.4997358689910196
1.052,1.013,5.08,35.26,4.46,90,1.038,75.0,Specific Gravity,All Grain,11.11,True,1.3635926993275695
